data;ora solare;valore;tipo
03/07/2016;04:20;-0.26;min
03/07/2016;10:45;0.59;max
03/07/2016;15:25;0.21;min
03/07/2016;21:40;0.82;max
04/07/2016;05:05;-0.30;min
04/07/2016;11:35;0.60;max
04/07/2016;16:40;0.14;min
04/07/2016;22:25;0.75;max
05/07/2016;05:30;-0.36;min
05/07/2016;12:20;0.67;max
05/07/2016;17:10;0.17;min
05/07/2016;23:10;0.77;max
06/07/2016;05:45;-0.30;min
06/07/2016;12:20;0.64;max
06/07/2016;18:00;0.17;min
06/07/2016;23:10;0.72;max
07/07/2016;06:10;-0.26;min
07/07/2016;13:20;0.67;max
07/07/2016;18:50;0.20;min
07/07/2016;23:50;0.59;max
08/07/2016;06:50;-0.17;min
08/07/2016;13:55;0.68;max
08/07/2016;19:35;0.22;min
09/07/2016;00:40;0.52;max
09/07/2016;07:40;-0.12;min
09/07/2016;14:25;0.66;max
09/07/2016;20:05;0.16;min
10/07/2016;01:00;0.45;max
10/07/2016;07:25;-0.09;min
10/07/2016;14:50;0.59;max
10/07/2016;20:35;0.18;min
11/07/2016;01:10;0.37;max
11/07/2016;08:15;0.03;min
11/07/2016;16:05;0.58;max
11/07/2016;21:50;0.21;min
12/07/2016;02:05;0.28;max
12/07/2016;09:50;0.18;min
12/07/2016;17:20;0.64;max
13/07/2016;00:45;0.19;min
13/07/2016;07:30;0.33;max
13/07/2016;10:55;0.24;min
13/07/2016;17:15;0.76;max
14/07/2016;02:55;0.09;min
14/07/2016;06:35;0.31;max
14/07/2016;10:40;0.15;min
14/07/2016;19:20;0.64;max
15/07/2016;02:00;-0.07;min
15/07/2016;09:05;0.53;max
15/07/2016;13:35;0.23;min
15/07/2016;19:45;0.71;max
16/07/2016;03:50;-0.20;min
16/07/2016;09:20;0.45;max
16/07/2016;13:35;0.17;min
16/07/2016;20:15;0.68;max
17/07/2016;03:35;-0.33;min
17/07/2016;10:05;0.43;max
17/07/2016;14:35;0.12;min
17/07/2016;20:45;0.66;max
18/07/2016;03:55;-0.28;min
18/07/2016;10:45;0.50;max
18/07/2016;15:50;0.09;min
18/07/2016;21:35;0.64;max
19/07/2016;04:35;-0.32;min
19/07/2016;10:55;0.54;max
19/07/2016;16:30;0.03;min
19/07/2016;22:15;0.66;max
20/07/2016;05:00;-0.33;min
20/07/2016;11:45;0.57;max
20/07/2016;17:10;0.03;min
20/07/2016;22:50;0.71;max
21/07/2016;05:35;-0.29;min
21/07/2016;12:20;0.60;max
21/07/2016;17:45;0.10;min
21/07/2016;23:20;0.72;max
22/07/2016;06:10;-0.25;min
22/07/2016;13:15;0.64;max
22/07/2016;18:15;0.15;min
22/07/2016;23:45;0.68;max
23/07/2016;06:45;-0.26;min
23/07/2016;13:50;0.64;max
23/07/2016;19:30;0.11;min
24/07/2016;00:45;0.54;max
24/07/2016;07:05;-0.27;min
24/07/2016;13:40;0.62;max
24/07/2016;20:05;0.00;min
25/07/2016;01:25;0.47;max
25/07/2016;06:55;-0.16;min
25/07/2016;14:55;0.61;max
25/07/2016;21:05;0.11;min
26/07/2016;01:25;0.41;max
26/07/2016;08:35;0.00;min
26/07/2016;15:40;0.63;max
26/07/2016;21:35;0.15;min
27/07/2016;04:10;0.30;max
27/07/2016;09:00;0.10;min
27/07/2016;16:40;0.68;max
28/07/2016;00:15;0.08;min
28/07/2016;06:20;0.32;max
28/07/2016;10:20;0.15;min
28/07/2016;18:15;0.68;max
29/07/2016;02:25;-0.04;min
29/07/2016;08:15;0.42;max
29/07/2016;12:40;0.23;min
29/07/2016;19:25;0.70;max
