data;ora solare;valore;tipo;;
22/06/2013;15:25;0.15;min;;
22/06/2013;21:30;0.81;max;;
23/06/2013;04:55;-0.37;min;;
23/06/2013;11:45;0.57;max;;
23/06/2013;16:25;0.15;min;;
23/06/2013;22:30;0.86;max;;
24/06/2013;05:40;-0.33;min;;
24/06/2013;12:15;0.57;max;;
24/06/2013;17:25;0.12;min;;
24/06/2013;22:50;0.82;max;;
25/06/2013;06:10;-0.39;min;;
25/06/2013;13:25;0.66;max;;
25/06/2013;18:05;0.23;min;;
25/06/2013;22:55;0.63;max;;
26/06/2013;06:30;-0.37;min;;
26/06/2013;14:15;0.66;max;;
26/06/2013;20:10;0.11;min;;
27/06/2013;00:50;0.45;max;;
27/06/2013;06:55;-0.19;min;;
27/06/2013;14:15;0.76;max;;
27/06/2013;20:30;0.04;min;;
28/06/2013;01:10;0.42;max;;
28/06/2013;07:15;-0.16;min;;
28/06/2013;14:35;0.66;max;;
28/06/2013;21:05;0.03;min;;
29/06/2013;02:10;0.36;max;;
29/06/2013;07:40;-0.08;min;;
29/06/2013;15:25;0.55;max;;
29/06/2013;22:05;0.05;min;;
30/06/2013;02:45;0.22;max;;
30/06/2013;08:45;-0.02;min;;
30/06/2013;16:40;0.52;max;;
30/06/2013;23:55;0.00;min;;
01/07/2013;07:00;0.22;max;;
01/07/2013;09:20;0.15;min;;
01/07/2013;17:25;0.53;max;;
02/07/2013;01:25;-0.08;min;;
02/07/2013;07:45;0.30;max;;
02/07/2013;12:00;0.15;min;;
02/07/2013;18:35;0.57;max;;
03/07/2013;02:10;-0.10;min;;
03/07/2013;08:05;0.38;max;;
03/07/2013;12:40;0.15;min;;
03/07/2013;19:05;0.63;max;;
04/07/2013;03:00;-0.13;min;;
04/07/2013;09:15;0.35;max;;
04/07/2013;13:45;0.14;min;;
04/07/2013;20:15;0.59;max;;
05/07/2013;03:45;-0.22;min;;
05/07/2013;10:15;0.42;max;;
05/07/2013;14:50;0.14;min;;
05/07/2013;20:40;0.59;max;;
06/07/2013;04:05;-0.34;min;;
06/07/2013;10:40;0.48;max;;
06/07/2013;16:05;0.10;min;;
06/07/2013;21:20;0.59;max;;
07/07/2013;04:20;-0.32;min;;
07/07/2013;11:20;0.60;max;;
07/07/2013;16:35;0.11;min;;
07/07/2013;22:20;0.64;max;;
